Adresse,Date Debut,Description,Heure Debut,Titre,Titre + Description
"33 rue du Général-Leclerc, 92130 Issy-les-Moulineaux",16/09/2017,"Ancienne propriété de la reine Margot, il conserve de cette époque, malgré de nombreuses transformations, un parc, des parterres à la française, un bassin central et un curieux nymphée.",1899-12-30 14:00:00,Visite commentée du Séminaire de Saint-Sulpice,"Visite commentée du Séminaire de Saint-Sulpice --- Ancienne propriété de la reine Margot, il conserve de cette époque, malgré de nombreuses transformations, un parc, des parterres à la française, un bassin central et un curieux nymphée."
"33 rue du Général-Leclerc, 92130 Issy-les-Moulineaux",16/09/2017,"Ancienne propriété de la reine Margot, le Séminaire conserve de cette époque, malgré de nombreuses transformations, un parc, des parterres à la française, un bassin central et un nymphée.",1899-12-30 10:00:00,Visite libre du Séminaire de Saint-Sulpice,"Visite libre du Séminaire de Saint-Sulpice --- Ancienne propriété de la reine Margot, le Séminaire conserve de cette époque, malgré de nombreuses transformations, un parc, des parterres à la française, un bassin central et un nymphée."
"33 rue du Général-Leclerc, 92130 Issy-les-Moulineaux",16/09/2017,Exposition présentée sur les grilles du Séminaires de Saint-Sulpice (côté rue) évoquant à travers des photographies la ville d'Issy d'hier et d'aujourd'hui.,1899-12-30 07:00:00,Rétro-graphie : vues des quartiers d’Issy,Rétro-graphie : vues des quartiers d’Issy --- Exposition présentée sur les grilles du Séminaires de Saint-Sulpice (côté rue) évoquant à travers des photographies la ville d'Issy d'hier et d'aujourd'hui.
33 rue du Gouverneur Général Eboué,10/09/2019,Les artistes de la Biennale s'exposent à la Médiathèque centre-ville.,1899-12-30 13:00:00,"Biennale d'Issy : Portraits contemporains, selfies de l'âme ?","Biennale d'Issy : Portraits contemporains, selfies de l'âme ? --- Les artistes de la Biennale s'exposent à la Médiathèque centre-ville."
33 rue du Gouverneur Général Eboué,13/09/2017,Retrouvez les oeuvres des artistes de la Biennale à la Médiathèque centre-ville.,1899-12-30 10:00:00,La Biennale d'Issy s'expose à la Médiathèque centre-ville,La Biennale d'Issy s'expose à la Médiathèque centre-ville --- Retrouvez les oeuvres des artistes de la Biennale à la Médiathèque centre-ville.
33 rue du Gouverneur Général Eboué 92130 Issy-les-Moulineaux,16/01/2020,La Médiathèque centre-ville d'Issy vous dévoile ses riches fonds de livres d'artistes.,1899-12-30 13:00:00,Exposition : Livres d'artistes,Exposition : Livres d'artistes --- La Médiathèque centre-ville d'Issy vous dévoile ses riches fonds de livres d'artistes.
33 rue du Gouverneur Général Eboué 92130 Issy-les-Moulineaux,18/01/2020,Une découverte familiale et ludique du répertoire classique,1899-12-30 18:30:00,Conte musical : Annunaki et Amara,Conte musical : Annunaki et Amara --- Une découverte familiale et ludique du répertoire classique
33 rue du Gouverneur Général Eboué 92130 Issy-les-Moulineaux,19/01/2019,L'entrelacement de la voix et l'image autour d'un livre d'artiste.,1899-12-30 17:00:00,Lecture de livres d'artiste,Lecture de livres d'artiste --- L'entrelacement de la voix et l'image autour d'un livre d'artiste.
33 rue du Gouverneur Général Eboué 92130 Issy-les-Moulineaux,19/01/2019,"Un sultan, un dattier et un oiseau noir qui dévore les douceurs...",1899-12-30 20:00:00,Spectacle : Le dattier du sultan de Zanzibar.,"Spectacle : Le dattier du sultan de Zanzibar. --- Un sultan, un dattier et un oiseau noir qui dévore les douceurs..."
33 rue du Gouverneur Général Eboué 92130 Issy-les-Moulineaux,20/01/2018,Deux spectacles autour de Shéhérazade.,1899-12-30 19:45:00,Shéhérazade à Issy-les-Moulineaux,Shéhérazade à Issy-les-Moulineaux --- Deux spectacles autour de Shéhérazade.
33 rue du Gouverneur Général Eboué 92130 Issy-les-Moulineaux,22/01/2022,Atelier numérique.,1899-12-30 16:00:00,Atelier numérique,Atelier numérique --- Atelier numérique.
33 rue du Gouverneur Général Eboué 92130 Issy-les-Moulineaux,22/01/2022,Exercice d'éloquence : procès fictif des Fleurs du Mal de Charles Baudelaire,1899-12-30 20:30:00,"Spectacle d'éloquence, Défendre l'indéfendable : le procès de Baudelaire et des Fleurs du Mal","Spectacle d'éloquence, Défendre l'indéfendable : le procès de Baudelaire et des Fleurs du Mal --- Exercice d'éloquence : procès fictif des Fleurs du Mal de Charles Baudelaire"
33 rue du Gouverneur Général Eboué 92130 Issy-les-Moulineaux,22/01/2022,Spectacle Tête en l'air propose de passer une veillée contée cocooning.,1899-12-30 19:00:00,Spectacle Tête en l'air,Spectacle Tête en l'air --- Spectacle Tête en l'air propose de passer une veillée contée cocooning.
"33 rue du Gouverneur général Eboué, 92130 Issy-les-Moulineaux",01/03/2021,Les Médiathèques pilotent sur la ville l'opération de valorisation de la langue française « Dis-moi dix mots » avec les CM1 de l'école Voltaire et les résidents de la maison de retraite Lasserre.,1899-12-30 00:00:00,Un projet intergénérationnel qui ne manque pas d'air !,Un projet intergénérationnel qui ne manque pas d'air ! --- Les Médiathèques pilotent sur la ville l'opération de valorisation de la langue française « Dis-moi dix mots » avec les CM1 de l'école Voltaire et les résidents de la maison de retraite Lasserre.
"33 rue du Gouverneur général Eboué, 92130 Issy-les-Moulineaux",12/03/2019,Les résidents de la maison de retraite Lasserre et une classe de CE2 livrent leur interprétation des dix mots.,1899-12-30 13:00:00,"Avec l'exposition « Dis-moi dix mots », la francophonie devient intergénérationnelle !","Avec l'exposition « Dis-moi dix mots », la francophonie devient intergénérationnelle ! --- Les résidents de la maison de retraite Lasserre et une classe de CE2 livrent leur interprétation des dix mots."
"33 rue du Gouverneur général Eboué, 92130 Issy-les-Moulineaux",13/03/2018,"Ohé, truculent, placoter... découvrez le sens que chaque génération donne à ces mots ! Une exposition organisée dans le cadre de la Semaine de la langue française et de la Francophonie.",1899-12-30 13:00:00,Exposition : Dis-moi dix mots sur tous les tons,"Exposition : Dis-moi dix mots sur tous les tons --- Ohé, truculent, placoter... découvrez le sens que chaque génération donne à ces mots ! Une exposition organisée dans le cadre de la Semaine de la langue française et de la Francophonie."
"33 rue du Gouverneur général Eboué, 92130 Issy-les-Moulineaux",15/03/2018,Profitez d'un cabaret d'improvisation dans le cadre de la Semaine de la langue française et de la francophonie.,1899-12-30 14:00:00,Cabaret d'improvisation,Cabaret d'improvisation --- Profitez d'un cabaret d'improvisation dans le cadre de la Semaine de la langue française et de la francophonie.
"33 rue du Gouverneur général Eboué, 92130 Issy-les-Moulineaux",17/03/2018,Les bibliothécaires vous content la chanson francophone.,1899-12-30 16:00:00,Café musical,Café musical --- Les bibliothécaires vous content la chanson francophone.
"33 rue du Gouverneur général Eboué, 92130 Issy-les-Moulineaux",17/03/2019,D'après le livre de Nathalie Minne « Le petit voleur de mots »,1899-12-30 16:00:00,Spectacle « Le petit voleur de mots »,Spectacle « Le petit voleur de mots » --- D'après le livre de Nathalie Minne « Le petit voleur de mots »
"33 rue du Gouverneur général Eboué, 92130 Issy-les-Moulineaux",19/11/2019,"Quelles sont les étapes d'une démarche de rénovation énergétique, comment bien initier son projet? Venez profiter de nos conseils pour partir du bon pied avec les meilleures chances de réussite",1899-12-30 19:00:00,Conférence Copropriétaires pour bien démarrer sa rénovation énergétique à Issy-les-Moulineaux,"Conférence Copropriétaires pour bien démarrer sa rénovation énergétique à Issy-les-Moulineaux --- Quelles sont les étapes d'une démarche de rénovation énergétique, comment bien initier son projet? Venez profiter de nos conseils pour partir du bon pied avec les meilleures chances de réussite"
"33 rue du Gouverneur général Eboué, 92130 Issy-les-Moulineaux",21/06/2018,"Plusieurs musiciens, artistes et chanteurs viennent proposer leur oeuvre. Qu'ils soient amateurs, élèves ou professeurs de musique, ce plateau artistique est une découverte",1899-12-30 18:30:00,La médiathèque centrale ouvre son auditorium pour les musiciens isséens,"La médiathèque centrale ouvre son auditorium pour les musiciens isséens --- Plusieurs musiciens, artistes et chanteurs viennent proposer leur oeuvre. Qu'ils soient amateurs, élèves ou professeurs de musique, ce plateau artistique est une découverte"
"33 rue du Gouverneur général Eboué, 92130 Issy-les-Moulineaux",27/03/2019,La Médiathèque centre-ville d'Issy vous propose un atelier numérique pour jouer avec les mots,1899-12-30 16:00:00,Atelier numérique,Atelier numérique --- La Médiathèque centre-ville d'Issy vous propose un atelier numérique pour jouer avec les mots
"33 rue du Gouverneur général Eboué, 92130 Issy-les-Moulineaux",28/03/2019,Venez écouter les acteurs de la troupe Improglio improviser sur les mots de l'année !,1899-12-30 14:00:00,Spectacle « Dis-moi dix mots »,Spectacle « Dis-moi dix mots » --- Venez écouter les acteurs de la troupe Improglio improviser sur les mots de l'année !
"33 rue du Gouverneur Général Éboué, 92130 Issy-les-Moulineaux",21/06/2017,Quatre groupes viendront enflammer le parvis de la Médiathèque sur des tons rock et électro,1899-12-30 17:40:00,Le parvis de la Médiathèque danse un rock endiablé,Le parvis de la Médiathèque danse un rock endiablé --- Quatre groupes viendront enflammer le parvis de la Médiathèque sur des tons rock et électro
"33 rue du Gouverneur Général Eboué, Issy-les-Moulineaux",15/06/2022,"Une découverte de l'éco-habitat et de la transition énergétique, à hauteur de tous les publics, au moyen d'une maisonnette à aménager et de jouets techniques.",1899-12-30 14:00:00,Issy-les-Moulineaux : Ma cabane... au fond du jardin,"Issy-les-Moulineaux : Ma cabane... au fond du jardin --- Une découverte de l'éco-habitat et de la transition énergétique, à hauteur de tous les publics, au moyen d'une maisonnette à aménager et de jouets techniques."
"33 rue du Gouverneur Général Eboué, Issy-les-Moulineaux",25/02/2024,"En plus de l'exposition photos (voir horaires ouverture de la structure accueillant l'exposition), venez assister à une conférence sur la faune urbaine le 25/02/2024 à 16h",1899-12-30 16:00:00,Conférence  : Les autres coloca-terre de nos villes ! - ISSY LES MOULINEAUX,"Conférence  : Les autres coloca-terre de nos villes ! - ISSY LES MOULINEAUX --- En plus de l'exposition photos (voir horaires ouverture de la structure accueillant l'exposition), venez assister à une conférence sur la faune urbaine le 25/02/2024 à 16h"
"33, rue du Général-Leclerc, Issy-les-Moulineaux, 92130, Ile-de-France, Hauts-de-Seine",17/09/2016,Exposition de plein-air montée par le conseil local de la jeunesse visant à faire le lien entre mémoires et évolutions urbanistiques à travers une sélection de photographies.,1899-12-30 07:00:00,"Rétro-graphie ""Vues des quartiers d’Issy""","Rétro-graphie ""Vues des quartiers d’Issy"" --- Exposition de plein-air montée par le conseil local de la jeunesse visant à faire le lien entre mémoires et évolutions urbanistiques à travers une sélection de photographies."
"33, rue du Général-Leclerc, Issy-les-Moulineaux, 92130, Ile-de-France, Hauts-de-Seine",17/09/2016,"Nymphée, chapelles, jardin et bassin du 17e siècle...",1899-12-30 10:00:00,Visite libre du Séminaire Saint-Sulpice,"Visite libre du Séminaire Saint-Sulpice --- Nymphée, chapelles, jardin et bassin du 17e siècle..."
"33, rue du Général-Leclerc, Issy-les-Moulineaux, 92130, Ile-de-France, Hauts-de-Seine",17/09/2016,Un des sites les plus prestigieux et anciens de la ville,1899-12-30 11:00:00,Visite commentée du Séminaire Saint-Sulpice,Visite commentée du Séminaire Saint-Sulpice --- Un des sites les plus prestigieux et anciens de la ville
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/02/2017,Coloré !,1899-12-30 11:00:00,Cinéminots,Cinéminots --- Coloré !
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/02/2017,Dans le cadre de la semaine Iranienne 3 films du réalisateur Ali Hatami vous sont proposés.,1899-12-30 15:00:00,Projections de films d'Ali Hatami,Projections de films d'Ali Hatami --- Dans le cadre de la semaine Iranienne 3 films du réalisateur Ali Hatami vous sont proposés.
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/02/2017,"Ouvrir un album, c’est aussi se laisser envoûter par un univers pictural original et s’initier ainsi à l’art, sans le savoir.",1899-12-30 16:00:00,Atelier Arts plastiques : Explore les couleurs à la manière d’Hervé Tullet,"Atelier Arts plastiques : Explore les couleurs à la manière d’Hervé Tullet --- Ouvrir un album, c’est aussi se laisser envoûter par un univers pictural original et s’initier ainsi à l’art, sans le savoir."
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/02/2019,Langues étrangères,1899-12-30 17:00:00,Atelier de conversation « Guten Tag ! »,Atelier de conversation « Guten Tag ! » --- Langues étrangères
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/02/2020,Atelier créatif,1899-12-30 16:00:00,A la manière d'Ilya Green : livres d'artistes,A la manière d'Ilya Green : livres d'artistes --- Atelier créatif
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/02/2020,Rendez-vous des histoires,1899-12-30 11:00:00,Marmottines,Marmottines --- Rendez-vous des histoires
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/02/2022,"Conférence histoire de l'art par Eric Parmentier, historien à L’école du Louvre",1899-12-30 19:30:00,Visions dantesques : Noirceur et exaltation du génie romantique,"Visions dantesques : Noirceur et exaltation du génie romantique --- Conférence histoire de l'art par Eric Parmentier, historien à L’école du Louvre"
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/02/2023,"Histoires à savourer pour les petites oreilles !
Dès 3 ans.",1899-12-30 16:30:00,Les P'tites Histoires,"Les P'tites Histoires --- Histoires à savourer pour les petites oreilles !
Dès 3 ans."
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/02/2023,Les P'tits rendez-vous,1899-12-30 11:00:00,Marmottines,Marmottines --- Les P'tits rendez-vous
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/02/2024,Exposition,1899-12-30 13:00:00,Les coloca'terre de nos villes,Les coloca'terre de nos villes --- Exposition
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/03/2017,A la découverte du coloriage magique,1899-12-30 16:00:00,Atelier numérique,Atelier numérique --- A la découverte du coloriage magique
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/03/2017,Séance de projection,1899-12-30 11:00:00,Cinéminots,Cinéminots --- Séance de projection
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/04/2023,Café musical,1899-12-30 15:30:00,Humours en musique(s),Humours en musique(s) --- Café musical
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/04/2023,Les P'tits rendez-vous,1899-12-30 11:00:00,Marmottines,Marmottines --- Les P'tits rendez-vous
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/06/2019,Café musical,1899-12-30 15:30:00,The Cure : la compile des Isséens,The Cure : la compile des Isséens --- Café musical
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/06/2021,"Dans le cadre de son Contrat Local d’Éducation Artistique, le Musée Départemental Albert-Kahn s’associe aux photographes du Collectif K.",1899-12-30 13:00:00,Exposition : Regarder l'autre,"Exposition : Regarder l'autre --- Dans le cadre de son Contrat Local d’Éducation Artistique, le Musée Départemental Albert-Kahn s’associe aux photographes du Collectif K."
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/06/2022,Rendez vous des histoires !,1899-12-30 11:00:00,Marmottines,Marmottines --- Rendez vous des histoires !
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/10/2017,Théatre musical : éo,1899-12-30 16:30:00,Spectacle,Spectacle --- Théatre musical : éo
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/10/2019,Conférence-concert,1899-12-30 19:30:00,Jazz à l'écran,Jazz à l'écran --- Conférence-concert
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/10/2022,Café musical,1899-12-30 15:30:00,Le trio avec piano dans la France romantique,Le trio avec piano dans la France romantique --- Café musical
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/10/2022,"Comptines, chansons et histoires courtes.",1899-12-30 11:00:00,Marmottines,"Marmottines --- Comptines, chansons et histoires courtes."
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/10/2023,L'atelier immersif pour imaginer le futur et agir ensemble pour le climat !,1899-12-30 14:30:00,Annulé | Atelier 2tonnes,Annulé | Atelier 2tonnes --- L'atelier immersif pour imaginer le futur et agir ensemble pour le climat !
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/12/2018,Café musical,1899-12-30 15:30:00,Johnny Hallyday : de l'idole à l'icône,Johnny Hallyday : de l'idole à l'icône --- Café musical
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/12/2019,Spectacle,1899-12-30 16:00:00,Chansons d'ici et d'ailleurs,Chansons d'ici et d'ailleurs --- Spectacle
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/12/2021,Atelier créatif dès 6 ans.,1899-12-30 16:00:00,Flip-book végétal,Flip-book végétal --- Atelier créatif dès 6 ans.
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/12/2021,Rendez vous des histoires !,1899-12-30 11:00:00,Marmottines,Marmottines --- Rendez vous des histoires !
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",01/12/2023,Issy en mélodies,1899-12-30 18:30:00,Florilèges de mélodies grecques,Florilèges de mélodies grecques --- Issy en mélodies
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/02/2017,Petites histoires et comptines,1899-12-30 17:00:00,Cinéminots du jeudi,Cinéminots du jeudi --- Petites histoires et comptines
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/02/2019,film documentaire autour des bovins,1899-12-30 15:00:00,Pensé-filmé,Pensé-filmé --- film documentaire autour des bovins
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/02/2019,Les bibliothécaires racontent,1899-12-30 16:30:00,Méli mélo de contes,Méli mélo de contes --- Les bibliothécaires racontent
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/02/2020,Dimanches en mélodie,1899-12-30 16:30:00,Francis Poulenc : Louise de Vilmorin et Jean Cocteau,Francis Poulenc : Louise de Vilmorin et Jean Cocteau --- Dimanches en mélodie
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/02/2022,Histoires à savourer pour les petites oreilles !,1899-12-30 17:00:00,Récits du mercredi,Récits du mercredi --- Histoires à savourer pour les petites oreilles !
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/03/2019,Atelier créatif,1899-12-30 15:00:00,Livres d'artistes,Livres d'artistes --- Atelier créatif
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/03/2024,"Comptines, histoires en langue des signes pour les 2-5 ans.",1899-12-30 11:00:00,Sensibilisation à la langue des signes,"Sensibilisation à la langue des signes --- Comptines, histoires en langue des signes pour les 2-5 ans."
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/03/2024,"Par Éric Parmentier, historien à l'École du Louvre.",1899-12-30 16:00:00,Biblio remix : L'imaginaire des bibliothèques,"Biblio remix : L'imaginaire des bibliothèques --- Par Éric Parmentier, historien à l'École du Louvre."
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/04/2022,Café musical,1899-12-30 09:00:00,Werner Herzog / Popol Vuh : krautrock et cinéma d'auteur,Werner Herzog / Popol Vuh : krautrock et cinéma d'auteur --- Café musical
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/04/2022,Rencontre,1899-12-30 16:00:00,Christian Jaccard : Rencontre,Christian Jaccard : Rencontre --- Rencontre
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/04/2022,Rendez vous des histoires !,1899-12-30 11:00:00,Marmottines,Marmottines --- Rendez vous des histoires !
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/04/2023,"Spectacle, dès 5 ans.",1899-12-30 16:00:00,"Relié-e-s, Contes nature","Relié-e-s, Contes nature --- Spectacle, dès 5 ans."
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/04/2024,Venez pratiquer les langues étrangères !,1899-12-30 19:00:00,Café Polyglotte,Café polyglotte --- Venez pratiquer les langues étrangères !
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/05/2018,Séance de projection,1899-12-30 10:30:00,Cinéminots : Partons en balade,Cinéminots : Partons en balade --- Séance de projection
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/06/2018,Découvrez l'Espagnol,1899-12-30 11:00:00,Langues étrangères,Langues étrangères --- Découvrez l'Espagnol
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/07/2023,Dès 9 ans.,1899-12-30 16:30:00,Concert jazz,Concert jazz --- Dès 9 ans.
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/10/2019,Atelier philo,1899-12-30 16:00:00,La liberté,La liberté --- Atelier philo
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/10/2019,Histoires à savourer pour les petites oreilles !,1899-12-30 10:30:00,Récits du mercredi,Récits du mercredi --- Histoires à savourer pour les petites oreilles !
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/10/2021,Atelier créatif pour les 8-12 ans.,1899-12-30 15:30:00,La fresque végétale : Réalisation plastique,La fresque végétale : Réalisation plastique --- Atelier créatif pour les 8-12 ans.
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/10/2021,Rendez vous des histoires !,1899-12-30 11:00:00,Marmottines,Marmottines --- Rendez vous des histoires !
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/12/2017,"Marianne Montchougny redéfinit un art du livre, des oeuvres à venir contempler !",1899-12-30 15:00:00,"Visite et atelier autour de l'exposition: Marianne Montchougny, livres d'artiste.","Visite et atelier autour de l'exposition: Marianne Montchougny, livres d'artiste. --- Marianne Montchougny redéfinit un art du livre, des oeuvres à venir contempler !"
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/12/2017,Votre enfant a entre 6 et 12 ans ? Faites-lui découvrir les rouages d'un film d'animation à travers cet atelier !,1899-12-30 10:30:00,Festival Issy T'anime : Atelier cinéma,Festival Issy T'anime : Atelier cinéma --- Votre enfant a entre 6 et 12 ans ? Faites-lui découvrir les rouages d'un film d'animation à travers cet atelier !
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/12/2018,Dimanches en mélodie,1899-12-30 16:30:00,L'âme roumaine en mélodies,L'âme roumaine en mélodies --- Dimanches en mélodie
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/12/2022,Issy en mélodies,1899-12-30 18:30:00,Henri Duparc : intégrale des mélodies,Henri Duparc : intégrale des mélodies --- Issy en mélodies
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/12/2023,P'tits Rendez-Vous,1899-12-30 11:00:00,Les P'tites Histoires,Les P'tites Histoires --- P'tits Rendez-Vous
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",02/12/2023,Spectacle dès 5 ans.,1899-12-30 16:00:00,Le Blues de la grenouille,Le Blues de la grenouille --- Spectacle dès 5 ans.
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/01/2018,Histoires d'Indiens : Kamishibai Anuki,1899-12-30 16:30:00,Récits du mercredi,Récits du mercredi --- Histoires d'Indiens : Kamishibai Anuki
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/02/2018,l'anglais :  Les Indiens,1899-12-30 11:00:00,A la découverte des langues,A la découverte des langues --- l'anglais :  Les Indiens
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/02/2018,Musiques bretonnes et métissages,1899-12-30 16:00:00,Café musical,Café musical --- Musiques bretonnes et métissages
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/02/2019,Dimanches en mélodie,1899-12-30 16:30:00,Lieder für Weimar,Lieder für Weimar --- Dimanches en mélodie
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/02/2023,Fenêtre sur le monde,1899-12-30 18:30:00,"Rebetiko, dans les ruelles du Pirée","Rebetiko, dans les ruelles du Pirée --- Fenêtre sur le Monde"
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/02/2024,"Dans les médiathèques, célébrez le petit sorcier à lunettes !",1899-12-30 18:00:00,La nuit des livres Harry Potter,"La nuit des livres Harry Potter --- Dans les médiathèques, célébrez le petit sorcier à lunettes !"
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/02/2024,Les P'tits rendez-vous,1899-12-30 10:30:00,Marmottines,Marmottines --- Les P'tits rendez-vous
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/02/2024,Les P'tits rendez-vous,1899-12-30 11:00:00,Marmottines,Marmottines --- Les P'tits rendez-vous
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/03/2020,Conférence philosophie,1899-12-30 19:30:00,Philosopher en dehors des clous : Karl Kraus : penser la presse et les médias,Philosopher en dehors des clous : Karl Kraus : penser la presse et les médias --- Conférence philosophie
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/04/2018,"L’Être humain, Les Pygmées",1899-12-30 19:30:00,Conférence,"Conférence --- L’Être humain, Les Pygmées"
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/04/2019,Cinéminots,1899-12-30 16:30:00,Grosse rigolade,Grosse rigolade --- Cinéminots
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/04/2022,Dimanches en mélodie,1899-12-30 16:30:00,Enquête d'amour - Spécial Chanson,Enquête d'amour - Spécial Chanson --- Dimanches en mélodie
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/04/2024,Les P'tits rendez-vous,1899-12-30 10:30:00,Marmottines,Marmottines --- Les P'tits rendez-vous
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/04/2024,Les P'tits rendez-vous,1899-12-30 11:00:00,Marmottines,Marmottines --- Les P'tits rendez-vous
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/05/2017,Séance de projection,1899-12-30 16:30:00,Cinéminots : coup de coeur !,Cinéminots : coup de coeur ! --- Séance de projection
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/06/2018,Atelier (complet),1899-12-30 14:00:00,Initiation à l'enluminure,Initiation à l'enluminure --- Atelier (complet)
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/06/2023,"Histoires à savourer pour les petites oreilles !
Dès 3 ans.",1899-12-30 11:00:00,Les P'tites Histoires,"Les P'tites Histoires --- Histoires à savourer pour les petites oreilles !
Dès 3 ans."
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/07/2018,Carnets de voyages des Arcades,1899-12-30 14:00:00,"Exposition Médiathèque : ""Paris, sur le vif""","Exposition Médiathèque : ""Paris, sur le vif"" --- Carnets de voyages des Arcades"
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/10/2017,Venez pratiquez les langues étrangères !,1899-12-30 19:00:00,Café Polyglotte,Café Polyglotte --- Venez pratiquez les langues étrangères !
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/10/2018,Récits du mercredi,1899-12-30 16:30:00,Kamishibai,Kamishibai --- Récits du mercredi
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/10/2021,À la découverte d’un genre musical méconnu avec des artistes reconnus.,1899-12-30 16:30:00,Dimanches en mélodie : Nuits,Dimanches en mélodie : Nuits --- À la découverte d’un genre musical méconnu avec des artistes reconnus.
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",03/12/2022,"Lectures avec accompagnement musical, tout public dès 10 ans.",1899-12-30 18:00:00,Petites lectures entre amis : gourmandiseS,"Petites lectures entre amis : gourmandiseS --- Lectures avec accompagnement musical, tout public dès 10 ans."
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",04/01/2023,"Histoires à savourer pour les petites oreilles !
Dès 3 ans.",1899-12-30 16:30:00,Les P'tites Histoires,"Les P'tites Histoires --- Histoires à savourer pour les petites oreilles !
Dès 3 ans."
"33, rue du gouverneur général Eboué, Issy-les-Moulineaux",04/02/2018,Le célèbre chanteur et conteur yiddish Ben Zimet !,1899-12-30 16:00:00,Dimanches en mélodie :  Aux sources du Klezmer avec Ben Zimet !,Dimanches en mélodie :  Aux sources du Klezmer avec Ben Zimet ! --- Le célèbre chanteur et conteur yiddish Ben Zimet !
