Adresse,Date Debut,Description,Heure Debut,Titre,Titre + Description
1 rue Jules Ferry 92130 Issy-les-Moulineaux,22/01/2023,Conte pour enfants à découvrir en famille dès 3 ans,1899-12-30 16:00:00,Conte pour enfants : Le réveil maman,Conte pour enfants : Le réveil maman --- Conte pour enfants à découvrir en famille dès 3 ans
1 rue Jules Ferry 92130 Issy-les-Moulineaux,23/01/2022,Spectacle pour enfants à découvrir en famille dès 5 ans,1899-12-30 11:00:00,Spectacle pour enfants : Fiasco pour les canailles,Spectacle pour enfants : Fiasco pour les canailles --- Spectacle pour enfants à découvrir en famille dès 5 ans
1 rue Jules Ferry 92130 Issy-les-Moulineaux,23/01/2022,Spectacle pour enfants à découvrir en famille dès 5 ans,1899-12-30 14:30:00,Spectacle pour enfants : Fiasco pour les canailles,Spectacle pour enfants : Fiasco pour les canailles --- Spectacle pour enfants à découvrir en famille dès 5 ans
1 rue Jules Ferry 92130 Issy-les-Moulineaux,23/02/2020,Stage,1899-12-30 13:00:00,Méditation et yoga en pleine conscience,Méditation et yoga en pleine conscience --- Stage
1 rue Jules Ferry 92130 Issy-les-Moulineaux,25/11/2018,Spectacle pour enfants à découvrir en famille dès 5 ans,1899-12-30 16:00:00,Et la tortue dans tout ça ? spectacle pour enfants,Et la tortue dans tout ça ? spectacle pour enfants --- Spectacle pour enfants à découvrir en famille dès 5 ans
1 rue Jules Ferry 92130 Issy-les-Moulineaux,27/03/2021,Spectacle pour enfants à découvrir en famille dès 3 ans,1899-12-30 15:30:00,Annulé - Spectacle pour enfants : La Bataille contre mon lit,Annulé - Spectacle pour enfants : La Bataille contre mon lit --- Spectacle pour enfants à découvrir en famille dès 3 ans
1 rue Jules Ferry 92130 Issy-les-Moulineaux,28/11/2021,Contes pour enfants à découvrir en famille dès 6 ans,1899-12-30 11:00:00,"Conte jeune public : 1,2,3 Savane","Conte jeune public : 1,2,3 Savane --- Contes pour enfants à découvrir en famille dès 6 ans"
1 rue Jules Ferry 92130 Issy-les-Moulineaux,29/03/2020,Spectacle pour enfants à découvrir en famille dès 3 ans,1899-12-30 15:30:00,ANNULÉ | Spectacle pour enfants : La Bataille contre mon lit,ANNULÉ | Spectacle pour enfants : La Bataille contre mon lit --- Spectacle pour enfants à découvrir en famille dès 3 ans
1 rue Jules Ferry 92130 Issy-les-Moulineaux,31/03/2019,Spectacle pour enfants à découvrir en famille dès 3 ans,1899-12-30 16:00:00,Colère monstre spectacle pour enfants,Colère monstre spectacle pour enfants --- Spectacle pour enfants à découvrir en famille dès 3 ans
"1 rue Jules Ferry, 92130 Issy-les-Moulineaux",07/01/2017,L'association AS Médiation Pleine Conscience vous invite à découvrir le programme de méditation laïque MBSR élaboré par Kabat-Zinn popularisé en France par de nombreux auteurs tel Christophe André.,1899-12-30 09:30:00,Réunion d’information : qu’est-ce que la méditation MBSR et le yoga pleine conscience ?,Réunion d’information : qu’est-ce que la méditation MBSR et le yoga pleine conscience ? --- L'association AS Médiation Pleine Conscience vous invite à découvrir le programme de méditation laïque MBSR élaboré par Kabat-Zinn popularisé en France par de nombreux auteurs tel Christophe André.
"1 rue Jules Ferry, 92130 Issy-les-Moulineaux",22/04/2017,L'association Zen ISSY M vous invite à des réunions d'information,1899-12-30 09:30:00,"Réunion d’information : le yoga, la méditation et la gestion du stress","Réunion d’information : le yoga, la méditation et la gestion du stress --- L'association Zen ISSY M vous invite à des réunions d'information"
"1 rue jules ferry, issy les moulineaux",07/12/2019,Réunion d'info sur le programme d'approfondissement de la pleine conscience,1899-12-30 09:30:00,Comment approfondir la pleine conscience?,Comment approfondir la pleine conscience? --- Réunion d'info sur le programme d'approfondissement de la pleine conscience
"1 rue jules ferry, issy les moulineaux",09/01/2020,Réunion d'info sur le programme d'approfondissement de la pleine conscience,1899-12-30 21:00:00,Comment approfondir la pleine conscience?,Comment approfondir la pleine conscience? --- Réunion d'info sur le programme d'approfondissement de la pleine conscience
"1 rue jules ferry, issy les moulineaux",11/01/2020,3 modules de 4 semaines chacun,1899-12-30 09:30:00,Approfondissez la méditation et la Pleine conscience cet hiver à Paris!,Approfondissez la méditation et la Pleine conscience cet hiver à Paris! --- 3 modules de 4 semaines chacun
"1 rue Jules Guesde, 92130 Issy-les-Moulineaux",01/11/2017,Retrouvez les pharmacies de garde du mois de novembre,1899-12-30 09:00:00,Pharmacie de garde,Pharmacie de garde --- Retrouvez les pharmacies de garde du mois de novembre
"1 rue Jules Guesde, 92130 Issy-les-Moulineaux",06/06/2021,Retrouvez les pharmacies de garde du mois de juin,1899-12-30 09:00:00,Info pratique | Pharmacie de garde dimanche 6 juin,Info pratique | Pharmacie de garde dimanche 6 juin --- Retrouvez les pharmacies de garde du mois de juin
"1 rue Jules Guesde, 92130 Issy-les-Moulineaux",08/05/2019,Retrouvez les pharmacies de garde du mois de mai.,1899-12-30 09:00:00,Pharmacie de garde,Pharmacie de garde --- Retrouvez les pharmacies de garde du mois de mai.
