,Titre,Description,Détail des conditions,Résumé horaires,Adresse
900,Contes pour tout-petits : Mademoiselle Petit pOis sème des lectures,Spectacle pour enfant à découvrir en famille dès 6 mois,"Spectacle gratuit, pour les enfants accompagnés, réservation en ligne","Dimanche 20 novembre, 11h00",Impasse des 4 vents 92130 Issy-les-Moulineaux
901,Conte pour enfants : Ariane contre le Minotaure,Conte pour enfants à découvrir en famille dès 6 ans,"Spectacle gratuit, pour les enfants accompagnés, réservation en ligne","Samedi 15 octobre, 16h00",45-47 rue de l'Égalité 92130 Issy-les-Moulineaux
902,Atelier : Chant prénatal,Un atelier pour apporter un mieux-être pendant la grossesse animé par Judith Bloch-Christophe sur inscription.,"Atelier gratuit, renseignements par téléphone, inscription par email, 10 participants par séance.","Vendredi 2 décembre, 19h00","60 rue du Général Leclerc, 92130"
903,Chanter avec son enfant de 3 à 6 ans,"Un atelier ludique ouvert aux parents, père et mère, accompagnés de leur enfant âgé de 3 à 6 ans, animé par Marie-Anne Sévin, sur inscription.","Atelier gratuit, renseignements par téléphone, inscription par email, 5 participants par séance.","Samedi 1 avril 2023, 10h30","60 rue du Général Leclerc, 92130"
904,Danse parents-bébé,"Un atelier ludique ouvert aux parents, père et mère, accompagnés de leur enfant âgé de 1 an à 2 ans et demi, animé par Pamela Cecilia Paniagua Sanchez, sur inscription.","Atelier gratuit, renseignements par téléphone, inscription par email, 4 duos parent-bébé par séance.","Samedi 22 avril 2023, 09h30","60 rue du Général Leclerc, 92130"
905,Danse parents-bébé,"Un atelier ludique ouvert aux parents, père et mère, accompagnés de leur enfant âgé de 1 an à 2 ans et demi, animé par Pamela Cecilia Paniagua Sanchez, sur inscription.","Atelier gratuit, renseignements par téléphone, inscription par email, 4 duos parent-bébé par séance.","Samedi 17 septembre, 09h30","60 rue du Général Leclerc, 92130"
906,L'Armée de Madame Pince,Club de lecture pour les 9-13 ans,Sur inscription à l'accueil ou par téléphone au 01 41 23 81 62,"Mercredi 28 septembre, 16h30","2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
907,Je voulais une chance de vivre – récits de mineurs isolés,Conférence animée par Claude Roméo autour du recueil Je voulais une chance de vivre,Entrée libre sur réservation,"Mardi 8 novembre, 19h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
908,La vie du renard - ISSY-LES-MOULINEAUX,"Renard des villes, renard des champs : qui est donc ce canidé qui suscite à la fois l'intérêt et la peur ? Comment se comporte-t-il et de quoi se nourrit-il ?",Atelier en accès libre (nombre de places limité).,"Dimanche 9 octobre, 14h00, 15h00, 16h00, 17h00",54 rue d'Erevan
909,Ciné des enfants ♥ La brigade,Projection gratuite dès 11 ans en partenariat avec l'ASTI,Entrée gratuite sur réservation en ligne indispensable,"Dimanche 27 novembre, 15h00","45-47 rue de l'égalité, 92130 Issy-les-Moulineaux"
910,Les P'tites Histoires,Histoires à savourer pour les petites oreilles !,Sur inscription : à l'accueil ou par téléphone au 01 41 23 81 62,"Mercredi 19 octobre, 10h30","2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
911,Concours de haïku et photo-haïku,Un concours pour tous,Gratuit,1 septembre - 31 octobre,"60 rue du Général Leclerc, Issy-les-Moulineaux"
912,Marmottines,"Comptines, chansons et histoires courtes.","Inscription en ligne via Affluences, à l'accueil jeunesse ou par téléphone au 01 41 23 81 62","Samedi 12 novembre, 11h00","2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
913,Voz do Brasil,Fenêtre sur le monde,Entrée libre,"Vendredi 14 octobre, 18h30","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
914,Foire aux jouets - Les inscriptions pour les non-adhérents c'est parti !,Vente d'occasion de jeux et de jouets par des particuliers,,19 - 26 novembre,"18 rue de l'abbé Derry, 92130 Issy-les-Moulineaux"
915,Atelier participatif : Crée ton court métrage d'animation,"Atelier-découverte en continu, accès libre en famille dès 6 ans","Accès libre en continu, dans la limite des places disponibles","Dimanche 13 novembre, 14h00","47 rue de l'Égalité, 92130 Issy-les-Moulineaux"
916,La philo à l'écran des enfants ♥ Zibilla ou la vie zébrée,Projection suivie d'une conversation philosophique guidée par Véronique Delille,Entrée gratuite sur réservation en ligne indispensable,"Dimanche 13 novembre, 15h00","45-47 rue de l'égalité, 92130 Issy-les-Moulineaux"
